output\result\result-TUW-204724-xstream.xml;"Justyna Patalas-Maliszewska
";"";none extracted value;,00;0
output\result\result-TUW-205557-xstream.xml;"Jens Knoop
Laura Kovács
Jakob Zwirchmayr
";"";none extracted value;,00;0
output\result\result-TUW-205933-xstream.xml;"Wolfgang Hofkirchner
";"";none extracted value;,00;0
output\result\result-TUW-213513-xstream.xml;"Magdalena Widl
";"";none extracted value;,00;0
output\result\result-TUW-216744-xstream.xml;"M Samwald
M Kritz
M Gschwandtner
V Stefanov
A Hanbury
";"";none extracted value;,00;0
output\result\result-TUW-217690-xstream.xml;"Georg Gerstweiler
Hannes Kaufmann
Olga Kosyreva
Christian Schönauer
Emanuel Vonach
";"";none extracted value;,00;0
output\result\result-TUW-217971-xstream.xml;"Tim Lammarsch
";"";none extracted value;,00;0
output\result\result-TUW-221215-xstream.xml;"Claus-Dieter Volko
Claus-Dieter Volko
";"";none extracted value;,00;0
output\result\result-TUW-223906-xstream.xml;"Matthias Zeppelzauer
Maia Zaharieva
Manfred Del Fabro
";"";none extracted value;,00;0
output\result\result-TUW-223973-xstream.xml;"Reinhardt Wenzina
Katharina Kaiser
";"";none extracted value;,00;0
output\result\result-TUW-225252-xstream.xml;"Benjamin Biesinger
Christian Schauer
Bin Hu
Günther R Raidl
";"";none extracted value;,00;0
output\result\result-TUW-226000-xstream.xml;"Christopher Mayer
Martin Morandell
Andreas Kuntner
Hilda Tellioglu
";"";none extracted value;,00;0
output\result\result-TUW-226016-xstream.xml;"Ioana Jucu
";"";none extracted value;,00;0
output\result\result-TUW-228620-xstream.xml;"Sven Wohlgemuth
Stefan Sackmann
Noboru Sonehara
A Min Tjoa
";"";none extracted value;,00;0
output\result\result-TUW-231707-xstream.xml;"Werner Purgathofer
";"";none extracted value;,00;0
output\result\result-TUW-233317-xstream.xml;"Christian Bors
Theresia Gschwandtner
Silvia Miksch
Johannes Gärtner
";"";none extracted value;,00;0
output\result\result-TUW-233657-xstream.xml;"Tim Lammarsch
Wolfgang Aigner
Silvia Miksch
Alexander Rind
";"";none extracted value;,00;0
output\result\result-TUW-236063-xstream.xml;"Margit Pohl
Lisa-Christina Winter
Chris Pallaris
Simon Attfield
B L William Wong

";"";none extracted value;,00;0
output\result\result-TUW-236120-xstream.xml;"Markus Brunner
Monika Di Angelo
";"";none extracted value;,00;0
output\result\result-TUW-237297-xstream.xml;"Hilda Tellio?lu
";"";none extracted value;,00;0
output\result\result-TUW-240858-xstream.xml;"Marco Calautti
Georg Gottlob
Andreas Pieris
";"";none extracted value;,00;0
output\result\result-TUW-245336-xstream.xml;"Geraldine Fitzpatrick
";"";none extracted value;,00;0
output\result\result-TUW-245799-xstream.xml;"Elisabeta Spunei
Ion Piroi
Florina Piroi
";"";none extracted value;,00;0
output\result\result-TUW-247301-xstream.xml;"Georg Gottlob
Marco Manna
Andreas Pieris
";"";none extracted value;,00;0
output\result\result-TUW-247741-xstream.xml;"Abdel Aziz Taha
Allan Hanbury
Oscar A Jimenez del Toro
";"";none extracted value;,00;0
output\result\result-TUW-247743-xstream.xml;"Taha Abdel Aziz
";"";none extracted value;,00;0
output\result\result-TUW-251544-xstream.xml;"Johann Stockinger
Gerald Futschek
";"";none extracted value;,00;0
output\result\result-TUW-252847-xstream.xml;"Bogdan Ionescu
Alexandru Lucian Gînsc
Maia Zaharieva
Bogdan Boteanu
Mihai Lupu
Henning Müller
";"";none extracted value;,00;0
output\result\result-TUW-255712-xstream.xml;"Sylwia Polberg
";"";none extracted value;,00;0
output\result\result-TUW-256654-xstream.xml;"M Anton Ertl
";"";none extracted value;,00;0
output\result\result-TUW-257397-xstream.xml;"Markus Raab
";"";none extracted value;,00;0
output\result\result-TUW-257870-xstream.xml;"Jean D Hallewell Haslwanter
Geraldine Fitzpatrick
";"";none extracted value;,00;0
