path;PDF;original;extracted;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;REFERENCES;Precision;Recall;F1
TUW-139785;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139785-xstream.xml");,00;0;0;NA;100,00;NA;100,00;0;0;NA;NA;NA;NA;NA;NA;NA;5,41;68,89;63,78;30,19;30,48
TUW-140533;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140533.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140533-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-140533-xstream.xml");,00;0;0;NA;,00;NA;,00;0;0;NA;NA;NA;NA;NA;NA;NA;12,68;89,74;31,79;10,75;11,38
TUW-174216;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-174216.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-174216-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-174216-xstream.xml");,00;0;NA;0;22,22;NA;22,22;0;0;0;0;0;0;0;0;NA;62,50;96,30;46,67;12,19;13,55
TUW-172697;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-172697.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-172697-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-172697-xstream.xml");,00;0;NA;0;54,55;NA;54,55;0;0;NA;NA;NA;NA;NA;NA;NA;33,33;66,67;42,33;24,07;23,23
TUW-197852;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-197852.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-197852-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-197852-xstream.xml");100,00;0;NA;NA;57,14;NA;57,14;0;0;NA;NA;NA;NA;NA;NA;NA;50,00;100,00;66,00;56,25;45,54
TUW-180162;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-180162.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-180162-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-180162-xstream.xml");100,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;51,85;90,00;54,00;24,78;26,87
TUW-139781;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-139781-xstream.xml");100,00;NA;NA;NA;,00;NA;,00;0;0;NA;NA;NA;NA;NA;NA;NA;93,33;62,50;50,00;37,50;36,55
TUW-181199;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-181199.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-181199-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-181199-xstream.xml");,00;0;NA;NA;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;72,73;87,50;33,50;17,13;17,80
TUW-226000;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-226000.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-226000-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-226000-xstream.xml");100,00;0;NA;0;,00;NA;,00;0;0;NA;NA;NA;NA;NA;NA;NA;80,00;84,62;54,33;28,73;29,40
TUW-176087;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-176087.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-176087-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-176087-xstream.xml");100,00;0;NA;0;,00;0;,00;0;0;NA;NA;NA;NA;NA;NA;NA;80,00;96,55;57,14;26,83;27,66
