output\result\result-TUW-189842-xstream.xml;"Geraldine Fitzpatrick
Madeline Balaam
Lesley Axelrod
Eric Harris
Graham McAllister
Ann-Marie Hughes
Jane Burridge
Thomas Nind
Ian Ricketts
Anna Wilkinson
Sue Mawson
Stefan Rennick Egglestone
Tom Rodden
Penny Probert Smith
Nour Shublaq
Zoe Robertson
";"{a J Wilkinson
Madeline Balaam
Lesley S J Ac Mawson}@shu
Eric Uk Axelrod
Graham Harris
Stefan Mcallister
Rennick
Tom Rodden
G Mcallister}
Ann-Marie Hughes
Jane 
Burridge Shublaq



";,20;,19;,19
output\result\result-TUW-191715-xstream.xml;"Werner Purgathofer
Robert F Tobler
";"Werner Purgathofer
Robert F Tobler
";1,00;1,00;1,00
output\result\result-TUW-191977-xstream.xml;"G Athanasopoulos
E Fox
Y Ioannidis
G Kakaletris
N Manola
C Meghini
A Rauber
D Soergel
";"G Athanasopoulos
E Fox
Y Ioannidis
G Kakaletris
N Manola
C Meghini
A Rauber
D Soergel
";1,00;1,00;1,00
output\result\result-TUW-192724-xstream.xml;"Justyna Patalas-Maliszewska
Irene Krebs
";"Justyna Patalas-Maliszewska
Irene Krebs
";1,00;1,00;1,00
output\result\result-TUW-194085-xstream.xml;"Thomas Nowak
";"Diplom-Ingenieur
Thomas Nowak
Univ 
Ulrich Schmid
";,25;1,00;,40
output\result\result-TUW-194561-xstream.xml;"Bernhard Gramlich
Felix Schernhammer
";"Bernhard Gramlich
Felix Schernhammer
";1,00;1,00;1,00
output\result\result-TUW-194660-xstream.xml;"Eugen Jiresch
Bernhard Gramlich
";"Eugen Jiresch
Bernhard Gramlich
";1,00;1,00;1,00
output\result\result-TUW-197422-xstream.xml;"W Aigner
";"W Aigner
";1,00;1,00;1,00
output\result\result-TUW-197852-xstream.xml;"Petra Brosch
Andrea Randak
";"Petra Brosch
Andrea Randak
Peter J Clarke
Martina Seidl
Petra Brosch
Andrea Randak
";,33;1,00;,50
output\result\result-TUW-198400-xstream.xml;"Kresimir Kasal
Johannes Heurix
Thomas Neubauer
";"Kresimir Kasal
Johannes Heurix
Thomas Neubauer
";1,00;1,00;1,00
