path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-169511;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-169511.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-169511-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-169511-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;NA;NA;NA;100,00;66,67;66,67;66,67;75,00;NA;NA;NA;NA;NA;NA;NA;88,89;88,89;100,00;100,00;94,17;80,17;85,28
TUW-172697;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-172697.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-172697-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-172697-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;,00;NA;75,00;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;28,57;28,57;100,00;85,71;69,00;77,50;71,79
TUW-174216;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-174216.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-174216-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-174216-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;88,89;100,00;NA;NA;100,00;100,00;100,00;100,00;100,00;100,00;100,00;0;NA;82,35;82,35;,00;72,73;92,59;80,38;82,90
TUW-175428;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-175428.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-175428-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-175428-xstream.xml");DIPLOM_UND_MASTERARBEITEN;0;0;0;NA;100,00;NA;NA;100,00;100,00;NA;NA;NA;NA;NA;0;NA;71,58;74,16;,00;95,00;75,15;50,69;49,16
TUW-176087;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-176087.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-176087-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-176087-xstream.xml");BUCHBEITRAEGE;100,00;100,00;NA;100,00;100,00;0;0;83,33;75,00;NA;NA;NA;NA;NA;NA;NA;93,33;93,33;66,67;96,55;95,83;73,06;75,68
TUW-177140;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-177140.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-177140-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-177140-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;100,00;100,00;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;80,00;80,00;80,00;100,00;94,55;94,55;94,55
TUW-179146;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-179146.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-179146-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-179146-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;NA;NA;66,67;33,33;NA;NA;NA;NA;NA;NA;NA;85,71;85,71;90,91;100,00;89,42;82,01;84,70
TUW-180162;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-180162.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-180162-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-180162-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;0;100,00;NA;NA;100,00;100,00;100,00;,00;,00;NA;NA;NA;NA;NA;NA;NA;90,32;90,32;90,91;100,00;78,33;69,52;70,14
TUW-181199;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-181199.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-181199-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-181199-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;66,67;66,67;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;90,91;90,91;85,71;100,00;90,91;94,70;90,99
TUW-182414;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-182414.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-182414-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-182414-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;NA;80,00;100,00;100,00;66,67;40,00;NA;NA;NA;NA;NA;NA;NA;75,00;75,00;0;70,59;87,14;71,63;73,39
