"path";"PDF";"original";"extracted";"PublicationType";"Id";"Marker";"Title";"Source";"Publisher";"Editor";"Authors";"Edition";"Location";"Volume";"Issue";"Chapter";"Note";"Page from";"Page to";"Date";"Doi";"Url";"Precision";"Recall";"F1"
"TUW-201160-ref6";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2011606.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2011606-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2011606-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"33,33";"10,00";"10,00"
"TUW-201160-ref7";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2011607.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2011607-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2011607-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"75,00";"30,00";"30,00"
"TUW-201167-ref2";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2011672.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2011672-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2011672-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"66,67";"20,00";"20,00"
"TUW-201821-ref19";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20182119.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20182119-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20182119-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"0,00";"100,00";"0,00";"NA";"NA";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"100,00";"NA";"NA";"71,43";"62,50";"62,50"
"TUW-201821-ref20";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20182120.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20182120-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20182120-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"0,00";"NA";"NA";"87,50";"70,00";"70,00"
"TUW-201821-ref21";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20182121.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20182121-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20182121-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"75,00";"37,50";"37,50"
"TUW-201821-ref22";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20182122.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20182122-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20182122-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"33,33";"12,50";"12,50"
"TUW-205557-ref1";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2055571.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2055571-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2055571-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"NA";"66,67";"28,57";"28,57"
"TUW-223973-ref19";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-22397319.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-22397319-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-22397319-xstream.xml"")";"Buchbeiträge";"0,00";"0,00";"0,00";"NA";"0,00";"NA";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"NA";"50,00";"40,00";"33,33"
"TUW-240858-ref10";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-24085810.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-24085810-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-24085810-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"100,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"33,33";"10,00";"10,00"
