"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-139781-ref6";"100,00";"83,33";"83,33";"100,00";"100,00";"100,00";"66,67";"66,67";"50,00";"NAN";"0,00";"0,00"
"TUW-139781-ref7";"50,00";"33,33";"33,33";"100,00";"100,00";"100,00";"50,00";"33,33";"28,57";"NAN";"0,00";"0,00"
"TUW-139781-ref8";"80,00";"57,14";"57,14";"100,00";"100,00";"100,00";"60,00";"42,86";"33,33";"NAN";"0,00";"0,00"
"TUW-139785-ref1";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref2";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref3";"notMatched";"notMatched";"notMatched";"100,00";"87,50";"87,50";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref4";"notMatched";"notMatched";"notMatched";"90,48";"81,25";"80,00";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref5";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref6";"notMatched";"notMatched";"notMatched";"75,00";"75,00";"75,00";"75,00";"75,00";"60,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref7";"notMatched";"notMatched";"notMatched";"82,14";"75,00";"73,21";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref8";"notMatched";"notMatched";"notMatched";"92,86";"87,50";"83,33";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref9";"notMatched";"notMatched";"notMatched";"83,33";"87,50";"85,00";"33,33";"25,00";"20,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref10";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"50,00";"33,33";"28,57";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref11";"notMatched";"notMatched";"notMatched";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref12";"90,48";"81,25";"80,00";"92,86";"81,25";"81,25";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref13";"100,00";"66,67";"66,67";"66,67";"66,67";"50,00";"66,67";"66,67";"50,00";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref14";"75,00";"30,00";"30,00";"46,67";"50,00";"40,00";"40,00";"40,00";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref15";"100,00";"85,71";"85,71";"100,00";"100,00";"100,00";"75,00";"42,86";"37,50";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref16";"100,00";"87,50";"87,50";"100,00";"100,00";"100,00";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
"TUW-139785-ref17";"90,00";"62,50";"58,33";"83,33";"62,50";"62,50";"75,00";"37,50";"33,33";"notMatched";"notMatched";"notMatched"
