path;PDF;original;extracted;PublicationType;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;SECTION_LEVELS;SECTION_REFERENCES;REFERENCES;Precision;Recall;F1
TUW-141065;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141065.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141065-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-141065-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;100,00;100,00;100,00;100,00;NA;NA;NA;NA;NA;NA;NA;73,68;73,68;66,67;100,00;100,00;87,88;92,19
TUW-141121;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141121.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141121-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-141121-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;66,67;0;0;100,00;66,67;NA;NA;NA;NA;NA;NA;NA;54,55;0;66,67;100,00;84,38;62,99;59,50
TUW-141140;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141140.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141140-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-141140-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;100,00;NA;NA;83,33;80,00;NA;NA;NA;NA;NA;NA;NA;50,00;0;66,67;100,00;88,75;74,04;75,56
TUW-141336;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141336.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141336-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-141336-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;NA;,00;50,00;,00;,00;,00;0;0;0;0;0;NA;NA;40,00;30,77;50,00;100,00;43,75;37,26;29,42
TUW-141618;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141618.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141618-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-141618-xstream.xml");BUCHBEITRAEGE;,00;100,00;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;80,00;88,89;,00;82,54;63,33;36,70;39,05
TUW-141758;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141758.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141758-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-141758-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;,00;0;NA;0;NA;NA;66,67;0;NA;NA;NA;0;0;100,00;NA;,00;0;,00;94,62;38,89;35,44;27,79
TUW-168222;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-168222.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-168222-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-168222-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;100,00;NA;NA;0;0;0;100,00;0;NA;NA;NA;NA;NA;NA;NA;25,00;0;,00;100,00;70,83;38,64;38,64
TUW-168482;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-168482.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-168482-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-168482-xstream.xml");DIPLOM_UND_MASTERARBEITEN;100,00;,00;0;NA;,00;NA;NA;,00;,00;NA;0;NA;0;0;100,00;NA;,00;0;0;0;20,00;18,18;14,29
TUW-169511;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-169511.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-169511-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-169511-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;NA;NA;NA;100,00;80,00;80,00;66,67;75,00;NA;NA;NA;NA;NA;NA;NA;88,89;100,00;100,00;100,00;87,50;92,17;89,06
TUW-172697;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-172697.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-172697-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-172697-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;,00;100,00;NA;0;100,00;NA;NA;100,00;100,00;0;0;0;NA;NA;NA;NA;100,00;NA;0;0;55,56;55,56;41,67
TUW-174216;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-174216.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-174216-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-174216-xstream.xml");ZEITSCHRIFTENARTIKEL;100,00;100,00;NA;0;57,14;0;0;100,00;44,44;,00;,00;,00;100,00;100,00;100,00;NA;82,35;0;0;100,00;63,33;53,13;49,11
TUW-175428;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-175428.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-175428-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-175428-xstream.xml");DIPLOM_UND_MASTERARBEITEN;,00;,00;0;0;,00;NA;NA;,00;,00;0;0;0;0;0;100,00;NA;14,81;12,77;,00;81,25;17,90;16,82;12,28
TUW-176087;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-176087.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-176087-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-176087-xstream.xml");BUCHBEITRAEGE;100,00;100,00;NA;85,71;100,00;0;0;83,33;83,33;NA;NA;NA;NA;NA;NA;NA;85,71;80,00;66,67;92,86;94,17;70,42;73,13
TUW-177140;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-177140.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-177140-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-177140-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;,00;NA;NA;100,00;66,67;66,67;,00;,00;NA;NA;NA;NA;NA;NA;NA;66,67;0;66,67;100,00;55,00;56,36;51,52
TUW-179146;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-179146.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-179146-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\cermine\cermine-TUW-179146-xstream.xml");BEITRAEGE_AUS_TAGUNGSBAENDEN;100,00;0;NA;NA;,00;0;0;100,00;,00;0;0;0;0;0;NA;NA;66,67;0;60,00;100,00;32,50;45,24;26,67
