"path";"PDF";"original";"extracted";"PublicationType";"Id";"Marker";"Title";"Source";"Publisher";"Editor";"Authors";"Edition";"Location";"Volume";"Issue";"Chapter";"Note";"Page from";"Page to";"Date";"Doi";"Url";"Precision";"Recall";"F1"
"TUW-200959-ref7";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2009597.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2009597-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2009597-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"NA";"NA";"NA";"100,00";"100,00";"100,00";"NA";"NA";"71,43";"55,56";"55,56"
"TUW-200959-ref8";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2009598.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2009598-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2009598-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"0,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"NA";"NA";"NA";"0,00";"0,00";"100,00";"NA";"NA";"50,00";"22,22";"22,22"
"TUW-200959-ref9";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-2009599.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-2009599-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-2009599-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"100,00";"100,00";"100,00";"NA";"NA";"50,00";"33,33";"30,00"
"TUW-200959-ref10";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20095910.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20095910-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20095910-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"33,33";"NA";"NA";"0,00";"0,00";"NA";"NA";"100,00";"100,00";"100,00";"NA";"NA";"66,67";"53,33";"53,33"
"TUW-200959-ref11";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20095911.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20095911-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20095911-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"NA";"25,00";"10,00";"10,00"
"TUW-200959-ref12";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20095912.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20095912-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20095912-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"100,00";"100,00";"100,00";"NA";"NA";"42,86";"33,33";"30,00"
"TUW-200959-ref13";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20095913.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20095913-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20095913-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"NA";"25,00";"14,29";"14,29"
"TUW-200959-ref14";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20095914.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20095914-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20095914-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"100,00";"NA";"NA";"60,00";"37,50";"33,33"
"TUW-200959-ref17";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20095917.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20095917-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20095917-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"0,00";"NA";"NA";"0,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"100,00";"NA";"NA";"66,67";"60,00";"60,00"
"TUW-200959-ref19";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-20095919.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-20095919-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-20095919-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"NA";"0,00";"0,00";"NA";"0,00";"NA";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"NA";"33,33";"14,29";"14,29"
